ALB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
285001;Head of State;Zog I;1933;1964;1999;PA;Insignificant Layman;High;2142;X
285002;Head of Government;Midhat Frashëri;1933;1964;1999;PA;Corporate Suit;High;M32002;X
285003;Foreign Minister;Fuat Aslam;1933;1964;1999;PA;Apologetic Clerk;Medium;M32003;X
285004;Minister of Armament;Ruok Geraj;1933;1964;1999;PA;Corrupt Kleptocrat;Medium;M32004;X
285005;Minister of Security;Jocelyn Percy;1933;1964;1999;PA;Prince of Terror;High;M32005;X
285006;Head of Military Intelligence;Zog I;1933;1964;1999;PA;Logistics Specialist;Medium;M32006;X
285007;Chief of Staff;Qemal Komani;1933;1964;1999;PA;School of Defence;Medium;M32007;X
285008;Chief of Army;Stefkhi Shatun;1933;1964;1999;PA;Static Defence Doctrine;Medium;M32008;X
285009;Chief of Navy;Quamar Pakazi;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M32009;X
285010;Chief of Air Force;Jocelyn Percy;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M32005;X
285011;Head of State;Tefik Mborja;1939;1964;1999;PA;Pig-headed Isolationist;High;M32021;X
285012;Head of State;Ibrahim Bicaku;1942;1964;1999;PA;Stern Imperialist;High;M32042;X
285013;Head of State;Fiqri Dine;1944;1964;1999;PA;Die-hard Reformer;High;M32043;X
285014;Head of State;Fan Noli;1933;1964;1999;SL;Weary Stiffneck;High;M32011;X
285015;Head of State;Llazar Fundua;1941;1964;1999;SD;Popular Figurehead;High;M32013;X
285016;Head of State;Rexhep Mitrovica;1944;1964;1999;SC;Insignificant Layman;High;M32046;X
285017;Head of State;Shefqet Vërlaci;1939;1964;1999;FA;Autocratic Charmer;High;M32047;X
285018;Head of State;Eqrem Libohova;1942;1964;1999;FA;Powerhungry Demagogue;High;M32048;X
285019;Head of State;Omer Nishani;1933;1964;1999;ST;Resigned Generalissimo;High;M32032;X
285020;Head of State;Sejfulla Malëshova;1945;1964;1999;LE;Popular Figurehead;High;M32050;X
285021;Head of State;Enver Hoxha;1936;1964;1999;ST;Ruthless Powermonger;High;M32051;X
285022;Head of Government;Kostaq Kota;1939;1964;1999;PA;Smiling Oilman;High;M32052;X
285023;Head of Government;Jup Kazazi;1941;1964;1999;PA;Happy Amateur;High;M32015;X
285024;Head of Government;Mehdi Frashëri;1944;1964;1999;PA;Corporate Suit;High;M32054;X
285025;Head of Government;Fan Noli;1939;1964;1999;SL;Naive Optimist;High;M32011;X
285026;Head of Government;Xhafer Ypi;1941;1964;1999;SC;Political Protege;High;M32056;X
285027;Head of Government;Mustafa Mërlika;1944;1964;1999;SL;Happy Amateur;High;M32057;X
285028;Head of Government;Shefqet Vërlaci;1939;1964;1999;FA;Flamboyant Tough Guy;High;M32047;X
285029;Head of Government;Eqrem Libohova;1942;1964;1999;FA;Corporate Suit;High;M32048;X
285030;Head of Government;Omer Nishani;1933;1964;1999;ST;Silent Workhorse;High;M32032;X
285031;Head of Government;Sejfulla Malëshova;1942;1964;1999;LE;Naive Optimist;High;M32050;X
285032;Head of Government;Enver Hoxha;1936;1964;1999;ST;Local tyrant;High;M32051;X
285033;Foreign Minister;Mehdi Frashëri;1939;1964;1999;PA;Apologetic Clerk;Medium;M32054;X
285034;Foreign Minister;Fiqri Dine;1942;1964;1999;PA;Great Compromiser;Medium;M32043;X
285035;Foreign Minister;Nazim Dedolli;1944;1964;1999;PA;Iron Fisted Brute;Medium;M32066;X
285036;Foreign Minister;Llazar Fundua;1933;1964;1999;SD;Great Compromiser;High;M32013;X
285037;Foreign Minister;Fan Noli;1940;1964;1999;SL;Ideological Crusader;Very Low;M32068;X
285038;Foreign Minister;Ali Kelmendi;1927;1939;1999;ST;Iron Fisted Brute;Low;M32031;X
285039;Foreign Minister;Rexhep Mitrovica;1943;1964;1999;SC;Apologetic Clerk;Medium;M32046;X
285040;Foreign Minister;Shefqet Shkupi;1944;1964;1999;SL;Biased Intellectual;Medium;M32071;X
285041;Foreign Minister;Tefik Mborja;1939;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M32021;X
285042;Foreign Minister;Hasan Begolli;1941;1964;1999;FA;Biased Intellectual;High;M32073;X
285043;Foreign Minister;Kol Mirakaj;1942;1964;1999;FA;General Staffer;High;M32074;X
285044;Foreign Minister;Nuhi Berisha;1943;1964;1999;FA;Iron Fisted Brute;High;M32075;X
285045;Foreign Minister;Omer Nishani;1933;1964;1999;ST;Ideological Crusader;Undying;M32032;X
285046;Foreign Minister;Hassan Shqabi;1942;1964;1999;ST;Iron Fisted Brute;High;M32077;X
285048;Minister of Armament;Jocelyn Percy;1937;1964;1999;PA;Air to Ground Proponent;Medium;M32005;X
285049;Minister of Armament;Quamar Pakazi;1939;1964;1999;PA;Submarine Proponent;Medium;M32009;X
285050;Minister of Armament;Sthfphen Delvinë;1941;1964;1999;PA;Air to Sea Proponent;Medium;M32020;X
285051;Minister of Armament;Ismael Ghaxa;1942;1964;1999;PA;Battle Fleet Proponent;Medium;M32029;X
285052;Minister of Armament;Fiqri Dine;1943;1964;1999;PA;Corrupt Kleptocrat;Medium;M32043;X
285053;Minister of Armament;Haxhi Lleshi;1933;1964;1999;SC;laissez-faire capitalist;Medium;M32014;X
285054;Minister of Armament;Shefqet Shkupi;1940;1964;1999;SL;Battle Fleet Proponent;Medium;M32071;X
285055;Minister of Armament;Rexhep Mitrovica;1941;1964;1999;SC;Air to Sea Proponent;Medium;M32046;X
285056;Minister of Armament;Kostaq Kota;1942;1964;1999;SC;Strategic Air Proponent;Medium;M32052;X
285057;Minister of Armament;Xhafer Ypi;1943;1964;1999;SC;Tank Proponent;Medium;M32056;X
285058;Minister of Armament;Hajrë Dizdari;1944;1964;1999;SC;Military Entrepreneur;Medium;M32090;X
285059;Minister of Armament;Xhelal Mitrovica;1945;1964;1999;SC;Infantry Proponent;Medium;M32091;X
285060;Minister of Armament;Maliq Bushati;1939;1964;1999;FA;Corrupt Kleptocrat;High;M32024;X
285061;Minister of Armament;Shefqet Vërlaci;1941;1964;1999;FA;laissez-faire capitalist;High;M32047;X
285062;Minister of Armament;Omer Bikacu;1942;1964;1999;FA;Resource Industrialist;Medium;M32084;X
285063;Minister of Armament;Eqrem Libohova;1943;1964;1999;FA;Tank Proponent;High;M32048;X
285064;Minister of Armament;Essad Pacha;1964;1964;1999;ST;Corrupt Kleptocrat;Medium;M32036;X
285065;Minister of Armament;Enver Hoxha;1936;1964;1999;ST;Infantry Proponent;Very High;M32097;X
285066;Minister of Armament;Nano Xhana;1943;1964;1999;ST;Air to Sea Proponent;Low;M32098;X
285067;Minister of Armament;Sejfulla Malëshova;1944;1964;1999;LE;Submarine Proponent;Low;M32050;X
285068;Minister of Security;Midhat Frashëri;1940;1964;1999;PA;Compassionate Gentleman;Very High;M32002;X
285069;Minister of Security;Omer Nishani;1941;1964;1999;PA;Back Stabber;Very High;M32032;X
285070;Minister of Security;Ibrahim Bicaku;1943;1964;1999;PA;Prince of Terror;Medium;M32042;X
285071;Minister of Security;Nazim Dedolli;1944;1964;1999;PA;Efficient Sociopath;Medium;M32066;X
285072;Minister of Security;Kostaq Kota;1945;1964;1999;PA;Crime Fighter;High;M32052;X
285073;Minister of Security;Nexhip Deva;1946;1964;1999;PA;Silent Lawyer;Medium;M32107;X
285074;Minister of Security;Jup Kazazi;1933;1964;1999;SC;Crooked Kleptocrat;Low;M32015;X
285075;Minister of Security;Halil Nergutti;1941;1964;1999;SL;Crime Fighter;Low;M32109;X
285076;Minister of Security;Midhat Frashëri;1942;1964;1999;SC;Compassionate Gentleman;Very High;M32002;X
285077;Minister of Security;Shefqet Shkupi;1943;1964;1999;SL;Man of the People;Medium;M32071;X
285078;Minister of Security;Mustafa Mërlika;1944;1964;1999;SL;Back Stabber;Medium;M32057;X
285079;Minister of Security;Xhelal Mitrovica;1946;1964;1999;SC;Crooked Kleptocrat;Medium;M32091;X
285080;Minister of Security;Maliq Bushati;1939;1964;1999;FA;Crooked Kleptocrat;High;M32024;X
285081;Minister of Security;Eqrem Libohova;1941;1964;1999;FA;Man of the People;High;M32048;X
285082;Minister of Security;Kol Mirakaj;1942;1964;1999;FA;Crooked Kleptocrat;High;M32074;X
