U72;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
1175001;Head of State;Ho Chi Minh;1930;1964;1999;LE;Ruthless Powermonger;Very high;6663;x
1175002;Head of Government;Ho Chi Minh;1930;1964;1999;LE;Silent Workhorse;Very high;6663;x
1175003;Foreign Minister;Ho Chi Minh;1930;1964;1999;LE;Great Compromiser;Very high;6663;x
1175004;Minister of Armament;Nguyen Luong Bang;1930;1964;1999;LE;Administrative Genius;Medium;6851;x
1175005;Minister of Security;Hoang Quoc Viet;1930;1964;1999;LE;Man of the People;Medium;6852;x
1175006;Head of Military Intelligence;Hoang Van Thai;1930;1964;1999;LE;Dismal Enigma;Very high;6686;x
1175007;Chief of Staff;Vo Nguyen Giap;1930;1964;1999;LE;School of Mass Combat;Very high;6664;x
1175008;Chief of Army;Vo Nguyen Giap;1930;1964;1999;LE;Decisive Battle Doctrine;Very high;6664;x
1175009;Chief of Navy;Hoang Van Thai;1930;1964;1999;LE;Indirect Approach Doctrine;Very high;6686;x
1175010;Chief of Air Force;Hoang Van Thai;1930;1964;1999;LE;Air Superiority Doctrine;Very high;6686;x
1175011;Head of State;Nguyen Tuong Tam;1938;1964;1999;SC;Autocratic Charmer;Medium;6853;x
1175012;Head of State;Duong Duc Hien;1944;1964;1999;SL;Insignificant Layman;Medium;6854;x
1175013;Head of State;Nguyen Xien;1956;1964;1999;SD;Insignificant Layman;Medium;6855;x
1175014;Head of State;Nghiem Xuan Yem;1958;1964;1999;SL;Insignificant Layman;Medium;6856;x
1175015;Head of State;Ton Duc Thang;1969;1980;1999;LE;Barking Buffoon;Very high;6857;x
1175016;Head of Government;Tran Phu;1930;1964;1999;LE;Ambitious Union Boss;Medium;6858;x
1175017;Head of Government;Le Hong Phong;1935;1964;1999;LE;Old General;Medium;6850;x
1175018;Head of Government;Ha Huy Tap;1933;1964;1999;LE;Ambitious Union Boss;Medium;6859;x
1175019;Head of Government;Nguyen Van Cu;1938;1964;1999;LE;Happy Amateur;Medium;6860;x
1175020;Head of Government;Truong Chinh;1941;1964;1999;LE;Backroom Backstabber;Medium;6861;x
1175021;Head of Government;Le Duan;1960;1964;1999;ST;Backroom Backstabber;Medium;6862;x
1175022;Head of Government;Tran Dang Khoa;1945;1964;1999;SL;Silent Workhorse;Medium;6863;x
1175023;Head of Government;Do Duc Duc;1945;1964;1999;SL;Backroom Backstabber;Medium;unknownminister;x
